apk_name,package_name,label,risk_score_prediction,targets_old_sdk,boot_persistence,user_persistence,suspicious_libraries,num_suspicious_urls,num_total_permissions,num_suspicious_permissions,perm_CAMERA,perm_RECORD_AUDIO,perm_WAKE_LOCK,perm_SYSTEM_ALERT_WINDOW,perm_BLUETOOTH_ADMIN,perm_WRITE_SETTINGS,perm_WRITE_SECURE_SETTINGS,perm_ACCESS_COARSE_LOCATION,perm_ACCESS_FINE_LOCATION,perm_ACCESS_BACKGROUND_LOCATION,perm_FOREGROUND_SERVICE_LOCATION,perm_ACTIVITY_RECOGNITION,perm_ACTIVITY_RECOGNITION,perm_ACCESS_WIFI_STATE,perm_ACCESS_NETWORK_STATE,perm_CHANGE_WIFI_STATE,perm_FOREGROUND_SERVICE_MICROPHONE,perm_FOREGROUND_SERVICE_CAMERA,perm_ACCESS_NOTIFICATION_POLICY,perm_RECEIVE_BOOT_COMPLETED,perm_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,perm_REQUEST_DELETE_PACKAGES
com.tplink.tether_4.12.212-752_2arch_7dpi_d5158565d4cc1054e93aee39768fbca8_apkmirror.com_base.apk,com.tplink.tether,0,,0,0,0,0,509404,30,9,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"com.verizon.mips.services_1.0.242.0-242_minAPI24(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",com.verizon.mips.services,0,,0,0,0,1,4294,95,14,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0
com.zzkko_14.3.1-2586_4arch_7dpi_4145feecc385c7945569ffe2b17fd2f5_apkmirror.com_base.apk,com.zzkko,0,,0,0,0,0,38544,36,10,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0
com.funbit.android_1.302-2020000502_2arch_7dpi_24lang_34caeabb90481b4357fbb8ec888c2bfb_apkmirror.com_base.apk,com.funbit.android,0,,0,0,0,0,43404,39,11,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
ee.mtakso.client_CA.201.0-4090_1arch_1dpi_6lang_066dad6e8a3e8d66cef0ad2429f1def6_apkmirror.com_base.apk,ee.mtakso.client,0,,0,0,0,0,111847,42,12,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0
com.twitter.android_11.73.0-beta.1-311730101_1arch_1dpi_2lang_f6bb6747a081515593fd7ef1f5ad93f9_apkmirror.com_base.apk,com.twitter.android,0,,0,0,0,0,147263,68,10,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
com.google.chromeremotedesktop_TWA_1.5.2-1000000016_3dpi_24lang_5067bdbb3406157de4b2b68452616aca_apkmirror.com_base.apk,com.google.chromeremotedesktop,1,,0,0,0,0,2358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.whatnot_mobile_26.11.6-260110614_4arch_7dpi_3lang_3a09a02ba93abad7fc2de6729cc7a30a_apkmirror.com_base.apk,com.whatnot_mobile,0,,0,0,0,0,157672,33,8,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
com.symantec.familysafety_7.9.6.16-6041_minAPI26(nodpi)_apkmirror.com.apk,com.symantec.familysafety,1,,0,0,0,0,35341,46,10,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0
org.thunderdog.challegram_0.28.3.1785-legacy-armeabi-v7a-1785001_minAPI16_maxAPI20(armeabi-v7a)(nodpi)_apkmirror.com.apk,org.thunderdog.challegram,0,,0,0,0,1,38754,58,12,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
com.vzw.smarthome.prod.release_1.0.101-65637_minAPI15(nodpi)_apkmirror.com.apk,com.vzw.smarthome.prod.release,0,,0,0,0,0,5199,10,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
com.google.android.apps.authenticator2_7.0-7001028_minAPI23(nodpi)_apkmirror.com.apk,com.google.android.apps.authenticator2,0,,0,0,0,0,7731,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
com.p1.mobile.putong_7.1.0-2710010_minAPI24(armeabi-v7a)(nodpi)_apkmirror.com.apk,com.p1.mobile.putong,0,,0,0,0,1,130394,113,11,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0
com.glasswire.android_3.0.396r-396_4arch_7dpi_26lang_183c1c0fe8870d8521a5fe4661eba70b_apkmirror.com_base.apk,com.glasswire.android,0,,0,0,0,0,24352,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
com.smartwidgetlabs.chatgpt_8.260309.3-1299_4arch_7dpi_5e05077c8d46af81fc77156b44885041_apkmirror.com_base.apk,com.smartwidgetlabs.chatgpt,0,,0,0,0,0,259062,29,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
io.strongapp.strong_v6.1.12-rc.4-601062_1arch_1dpi_880bec8555cc1dc5878e22dc7a1dba40_apkmirror.com_base.apk,io.strongapp.strong,0,,0,0,0,0,9382,20,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
com.spocky.projengmenu_4.68-82_2arch_1dpi_0bd5a7f57303a4bac423d09ca6584b41_apkmirror.com_base.apk,com.spocky.projengmenu,0,,0,0,0,0,27343,19,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
com.google.android.apps.bard_1.0.795460806-272_4arch_7dpi_37lang_de65d93eaabd550c86167763b8fd47ad_apkmirror.com_base.apk,com.google.android.apps.bard,0,,0,0,0,0,4259,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
com.yahoo.mobile.client.android.mail_10.4.0-1917030_4arch_3dpi_20lang_7d7a752cdb7f19e6535b5be454d32045_apkmirror.com_base.apk,com.yahoo.mobile.client.android.mail,0,,0,0,0,0,359875,32,7,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
com.ReadTheTextForMe_1.0.28-28_minAPI21(nodpi)_apkmirror.com.apk,com.ReadTheTextForMe,0,,0,0,0,0,277,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
com.camerasideas.instashot_2.196.1529-1529_2arch_7dpi_a89b75a2f68966d16a7c7c12931d092b_apkmirror.com_base.apk,com.camerasideas.instashot,0,,0,0,0,0,68283,27,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"com.samsung.android.service.stplatform_2.3.08.9-230809000_minAPI31(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",com.samsung.android.service.stplatform,0,,0,0,0,1,39680,46,8,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0
com.didiglobal.passenger_7.6.41-1207064101_1arch_2dpi_6b8a5676ef3f41365a92fad48f762fc1_apkmirror.com_base.apk,com.didiglobal.passenger,0,,0,0,0,0,237412,49,12,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0
