apk_name,package_name,label,risk_score_prediction,targets_old_sdk,boot_persistence,user_persistence,suspicious_libraries,num_suspicious_urls,num_total_permissions,num_suspicious_permissions,perm_CAMERA,perm_RECORD_AUDIO,perm_WAKE_LOCK,perm_SYSTEM_ALERT_WINDOW,perm_BLUETOOTH_ADMIN,perm_WRITE_SETTINGS,perm_WRITE_SECURE_SETTINGS,perm_ACCESS_COARSE_LOCATION,perm_ACCESS_FINE_LOCATION,perm_ACCESS_BACKGROUND_LOCATION,perm_FOREGROUND_SERVICE_LOCATION,perm_ACTIVITY_RECOGNITION,perm_ACTIVITY_RECOGNITION,perm_ACCESS_WIFI_STATE,perm_ACCESS_NETWORK_STATE,perm_CHANGE_WIFI_STATE,perm_FOREGROUND_SERVICE_MICROPHONE,perm_FOREGROUND_SERVICE_CAMERA,perm_ACCESS_NOTIFICATION_POLICY,perm_RECEIVE_BOOT_COMPLETED,perm_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,perm_REQUEST_DELETE_PACKAGES
"com.PYOPYO.StarTracker_1.6.115-282_minAPI29(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",com.PYOPYO.StarTracker,0,,0,0,0,1,5363,22,7,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0
com.nintendo.znma_2.3.2-640_4arch_7dpi_11lang_c6b5ac63d7dc4d1ca60475845bb46fc5_apkmirror.com_base.apk,com.nintendo.znma,0,,0,0,0,0,24226,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
com.riteshsahu.SMSBackupRestore_10.24.003-1024003_minAPI23(nodpi)_apkmirror.com.apk,com.riteshsahu.SMSBackupRestore,1,,0,0,0,0,14061,30,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
com.google.android.documentsui_16-360110000_minAPI30(nodpi)_apkmirror.com (1).apk,com.google.android.documentsui,0,,0,0,0,0,7208,18,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"com.samsung.android.wear.shealth_6.30.7.003-6307003_minAPI35(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",com.samsung.android.wear.shealth,0,,0,0,0,1,785215,68,12,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
"com.samsung.android.app.find_1.9.00.25-190025000_minAPI29(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",com.samsung.android.app.find,1,,0,0,0,1,68881,51,9,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0
com.gawk.smsforwarder_10.9.0-300_4arch_7dpi_24lang_f40ff1274f33517ec6f6dcd6a69bcacf_apkmirror.com_base.apk,com.gawk.smsforwarder,1,,0,0,0,0,14031,28,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"com.sec.android.easyMover_3.7.69.15-376915130_minAPI21(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",com.sec.android.easyMover,0,,0,0,0,1,17613,241,11,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0
com.atlogis.nzmaps.free_7.8.8-436_4arch_7dpi_24lang_220ef2034cdfd02ec1c7829d0f9b175f_apkmirror.com_base.apk,com.atlogis.nzmaps.free,0,,0,0,0,0,30347,20,7,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
com.sand.airmirror_1.1.6.1-10106010_2arch_b52a7c0ad5c7e2ee7175dce1abe9f6d9_apkmirror.com_base.apk,com.sand.airmirror,1,,0,0,0,0,4153,31,8,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
com.studiowildcard.arkuse_1.0-8_1arch_1feat_e4a414955969fee9f4d4fce166565448_apkmirror.com_base.apk,com.studiowildcard.arkuse,0,,0,0,0,0,4496,13,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
com.isharing.isharing_12.11.11.2-2152_4arch_7dpi_24lang_1b628f01517a935dd87866f33a74c824_apkmirror.com_base.apk,com.isharing.isharing,1,,0,0,0,0,22657,40,15,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
com.mapswithme.maps.pro_v17.7.71971-googleRelease-71971_4arch_7dpi_89197dbcfbeb61c2a2d6ec2f53cec416_apkmirror.com_base.apk,com.mapswithme.maps.pro,0,,0,0,0,0,991758,29,9,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0
epic.mychart.android_11.7.1-3687_4arch_6dpi_2c4615a58f2f05f3520a1ceeb1425aa1_apkmirror.com_base.apk,epic.mychart.android,0,,0,0,0,0,100547,50,10,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
"com.here.app.maps_4.18.100-48782000_minAPI26(arm64-v8a,armeabi-v7a,x86_64)(nodpi)_apkmirror.com.apk",com.here.app.maps,0,,0,0,0,1,247167,27,9,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
com.geozilla.family_6.81.4-131771_4arch_7dpi_24lang_7ceb3e5c67f2e77cc3e89516b0ac62d3_apkmirror.com_base.apk,com.geozilla.family,1,,0,0,0,0,62622,32,11,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
com.alarmnet.tc2_6.63.1.707.pr.-6630102_minAPI30(armeabi-v7a)(nodpi)_apkmirror.com.apk,com.alarmnet.tc2,0,,0,0,0,1,136424,29,11,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0
com.overlook.android.fing_12.11.8-121108005_4arch_7dpi_24lang_38e1b2a8d86364c6634251b98b55c99b_apkmirror.com_base.apk,com.overlook.android.fing,0,,0,0,0,0,6030,24,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
me.dingtone.app.im_6.4.9-681_2arch_7dpi_68f1d5c31ebd27ee1421151d542a89a0_apkmirror.com_base.apk,me.dingtone.app.im,0,,0,0,0,0,6789,33,9,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
com.sygic.aura_26.0.2-105446-260260002_minAPI26(armeabi-v7a)(nodpi)_apkmirror.com.apk,com.sygic.aura,0,,0,0,0,1,2132977,33,8,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"com.becloser_4.5.26-193_minAPI28(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",com.becloser,1,,0,0,0,1,22232,50,13,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
com.immediasemi.android.blink_52.0-29473654_4arch_7dpi_24lang_08a43192064422e0e678b4dfc574109c_apkmirror.com_base.apk,com.immediasemi.android.blink,0,,0,0,0,0,1804512,27,9,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0
com.grabtaxi.passenger_5.399.0-53990000_3arch_7dpi_8lang_8c793f5b83cd3366cbd66d5ca9e09330_apkmirror.com_base.apk,com.grabtaxi.passenger,0,,0,0,0,0,1111533,59,13,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0
"ch.protonmail.android_7.8.0-16549_minAPI29(arm64-v8a,armeabi,armeabi-v7a,mips,mips64,x86,x86_64)(nodpi)_apkmirror.com.apk",ch.protonmail.android,0,,0,0,0,1,120371,13,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"com.google.zagat_5.3.4-31148_minAPI21(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",com.google.zagat,0,,0,0,0,1,11062,11,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
com.apkmirror.helper.prod_2.0.3_(41-d04e542)-41_4arch_7dpi_25lang_8af5b594a9c073ff4c0de0a630377b4e_apkmirror.com_base.apk,com.apkmirror.helper.prod,0,,0,0,0,0,3557,19,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
com.maps.voice.navigation.traffic.gps.location.route.driving.directions_13.83-426_4arch_7dpi_bab4842accca81dc9527ee87a5de2329_apkmirror.com_base.apk,com.maps.voice.navigation.traffic.gps.location.route.driving.directions,1,,0,0,0,0,108124,34,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0
org.thoughtcrime.securesms_8.2.2-166301_4arch_7dpi_b2128dcd9c48796a0aa9319419c882f9_apkmirror.com_base.apk,org.thoughtcrime.securesms,0,,0,0,0,0,194369,73,13,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
